Areas,Age,Cases,Year,Disease
Total,Total,0,2008,Pertussis
Central Region,Total,0,2008,Pertussis
Bangkok,Total,0,2008,Pertussis
Zone: 1,Total,0,2008,Pertussis
Nonthaburi,Total,0,2008,Pertussis
P.Nakhon S.Ayutthaya,Total,0,2008,Pertussis
Pathum Thani,Total,0,2008,Pertussis
Saraburi,Total,0,2008,Pertussis
Zone: 2,Total,0,2008,Pertussis
Ang Thong,Total,0,2008,Pertussis
Chai Nat,Total,0,2008,Pertussis
Lop Buri,Total,0,2008,Pertussis
Sing Buri,Total,0,2008,Pertussis
Zone: 3,Total,0,2008,Pertussis
Chachoengsao,Total,0,2008,Pertussis
Nakhon Nayok,Total,0,2008,Pertussis
Prachin Buri,Total,0,2008,Pertussis
Sa Kaeo,Total,0,2008,Pertussis
Samut Prakan,Total,0,2008,Pertussis
Zone: 4,Total,0,2008,Pertussis
Kanchanaburi,Total,0,2008,Pertussis
Nakhon Pathom,Total,0,2008,Pertussis
Ratchaburi,Total,0,2008,Pertussis
Suphan Buri,Total,0,2008,Pertussis
Zone: 5,Total,0,2008,Pertussis
Phetchaburi,Total,0,2008,Pertussis
Prachuap Khiri Khan,Total,0,2008,Pertussis
Samut Sakhon,Total,0,2008,Pertussis
Samut Songkhram,Total,0,2008,Pertussis
Zone: 9,Total,0,2008,Pertussis
Chanthaburi,Total,0,2008,Pertussis
Chon Buri,Total,0,2008,Pertussis
Rayong,Total,0,2008,Pertussis
Trat,Total,0,2008,Pertussis
South Region,Total,0,2008,Pertussis
Zone: 6,Total,0,2008,Pertussis
Chumphon,Total,0,2008,Pertussis
Nakhon Si Thammarat,Total,0,2008,Pertussis
Phatthalung,Total,0,2008,Pertussis
Surat Thani,Total,0,2008,Pertussis
Zone: 7,Total,0,2008,Pertussis
Krabi,Total,0,2008,Pertussis
Phangnga,Total,0,2008,Pertussis
Phuket,Total,0,2008,Pertussis
Ranong,Total,0,2008,Pertussis
Trang,Total,0,2008,Pertussis
Zone: 8,Total,0,2008,Pertussis
Narathiwat,Total,0,2008,Pertussis
Pattani,Total,0,2008,Pertussis
Satun,Total,0,2008,Pertussis
Songkhla,Total,0,2008,Pertussis
Yala,Total,0,2008,Pertussis
North-Eastern Region,Total,0,2008,Pertussis
Zone: 10,Total,0,2008,Pertussis
Loei,Total,0,2008,Pertussis
Nong Bua Lam Phu,Total,0,2008,Pertussis
Nong Khai,Total,0,2008,Pertussis
Udon Thani,Total,0,2008,Pertussis
Zone: 11,Total,0,2008,Pertussis
Mukdahan,Total,0,2008,Pertussis
Nakhon Phanom,Total,0,2008,Pertussis
Sakon Nakhon,Total,0,2008,Pertussis
Zone: 12,Total,0,2008,Pertussis
Kalasin,Total,0,2008,Pertussis
Khon Kaen,Total,0,2008,Pertussis
Maha Sarakham,Total,0,2008,Pertussis
Roi Et,Total,0,2008,Pertussis
Zone: 13,Total,0,2008,Pertussis
Amnat Charoen,Total,0,2008,Pertussis
Si Sa Ket,Total,0,2008,Pertussis
Ubon Ratchathani,Total,0,2008,Pertussis
Yasothon,Total,0,2008,Pertussis
Zone: 14,Total,0,2008,Pertussis
Buri Ram,Total,0,2008,Pertussis
Chaiyaphum,Total,0,2008,Pertussis
Nakhon Ratchasima,Total,0,2008,Pertussis
Surin,Total,0,2008,Pertussis
North Region,Total,0,2008,Pertussis
Zone: 15,Total,0,2008,Pertussis
Chiang Mai,Total,0,2008,Pertussis
Lampang,Total,0,2008,Pertussis
Lamphun,Total,0,2008,Pertussis
Mae Hong Son,Total,0,2008,Pertussis
Zone: 16,Total,0,2008,Pertussis
Chiang Rai,Total,0,2008,Pertussis
Nan,Total,0,2008,Pertussis
Phayao,Total,0,2008,Pertussis
Phrae,Total,0,2008,Pertussis
Zone: 17,Total,0,2008,Pertussis
Phetchabun,Total,0,2008,Pertussis
Phitsanulok,Total,0,2008,Pertussis
Sukhothai,Total,0,2008,Pertussis
Tak,Total,0,2008,Pertussis
Uttaradit,Total,0,2008,Pertussis
Zone: 18,Total,0,2008,Pertussis
Kamphaeng Phet,Total,0,2008,Pertussis
Nakhon Sawan,Total,0,2008,Pertussis
Phichit,Total,0,2008,Pertussis
Uthai Thani,Total,0,2008,Pertussis
Total,0,0,2008,Pertussis
Central Region,0,0,2008,Pertussis
Bangkok,0,0,2008,Pertussis
Zone: 1,0,0,2008,Pertussis
Nonthaburi,0,0,2008,Pertussis
P.Nakhon S.Ayutthaya,0,0,2008,Pertussis
Pathum Thani,0,0,2008,Pertussis
Saraburi,0,0,2008,Pertussis
Zone: 2,0,0,2008,Pertussis
Ang Thong,0,0,2008,Pertussis
Chai Nat,0,0,2008,Pertussis
Lop Buri,0,0,2008,Pertussis
Sing Buri,0,0,2008,Pertussis
Zone: 3,0,0,2008,Pertussis
Chachoengsao,0,0,2008,Pertussis
Nakhon Nayok,0,0,2008,Pertussis
Prachin Buri,0,0,2008,Pertussis
Sa Kaeo,0,0,2008,Pertussis
Samut Prakan,0,0,2008,Pertussis
Zone: 4,0,0,2008,Pertussis
Kanchanaburi,0,0,2008,Pertussis
Nakhon Pathom,0,0,2008,Pertussis
Ratchaburi,0,0,2008,Pertussis
Suphan Buri,0,0,2008,Pertussis
Zone: 5,0,0,2008,Pertussis
Phetchaburi,0,0,2008,Pertussis
Prachuap Khiri Khan,0,0,2008,Pertussis
Samut Sakhon,0,0,2008,Pertussis
Samut Songkhram,0,0,2008,Pertussis
Zone: 9,0,0,2008,Pertussis
Chanthaburi,0,0,2008,Pertussis
Chon Buri,0,0,2008,Pertussis
Rayong,0,0,2008,Pertussis
Trat,0,0,2008,Pertussis
South Region,0,0,2008,Pertussis
Zone: 6,0,0,2008,Pertussis
Chumphon,0,0,2008,Pertussis
Nakhon Si Thammarat,0,0,2008,Pertussis
Phatthalung,0,0,2008,Pertussis
Surat Thani,0,0,2008,Pertussis
Zone: 7,0,0,2008,Pertussis
Krabi,0,0,2008,Pertussis
Phangnga,0,0,2008,Pertussis
Phuket,0,0,2008,Pertussis
Ranong,0,0,2008,Pertussis
Trang,0,0,2008,Pertussis
Zone: 8,0,0,2008,Pertussis
Narathiwat,0,0,2008,Pertussis
Pattani,0,0,2008,Pertussis
Satun,0,0,2008,Pertussis
Songkhla,0,0,2008,Pertussis
Yala,0,0,2008,Pertussis
North-Eastern Region,0,0,2008,Pertussis
Zone: 10,0,0,2008,Pertussis
Loei,0,0,2008,Pertussis
Nong Bua Lam Phu,0,0,2008,Pertussis
Nong Khai,0,0,2008,Pertussis
Udon Thani,0,0,2008,Pertussis
Zone: 11,0,0,2008,Pertussis
Mukdahan,0,0,2008,Pertussis
Nakhon Phanom,0,0,2008,Pertussis
Sakon Nakhon,0,0,2008,Pertussis
Zone: 12,0,0,2008,Pertussis
Kalasin,0,0,2008,Pertussis
Khon Kaen,0,0,2008,Pertussis
Maha Sarakham,0,0,2008,Pertussis
Roi Et,0,0,2008,Pertussis
Zone: 13,0,0,2008,Pertussis
Amnat Charoen,0,0,2008,Pertussis
Si Sa Ket,0,0,2008,Pertussis
Ubon Ratchathani,0,0,2008,Pertussis
Yasothon,0,0,2008,Pertussis
Zone: 14,0,0,2008,Pertussis
Buri Ram,0,0,2008,Pertussis
Chaiyaphum,0,0,2008,Pertussis
Nakhon Ratchasima,0,0,2008,Pertussis
Surin,0,0,2008,Pertussis
North Region,0,0,2008,Pertussis
Zone: 15,0,0,2008,Pertussis
Chiang Mai,0,0,2008,Pertussis
Lampang,0,0,2008,Pertussis
Lamphun,0,0,2008,Pertussis
Mae Hong Son,0,0,2008,Pertussis
Zone: 16,0,0,2008,Pertussis
Chiang Rai,0,0,2008,Pertussis
Nan,0,0,2008,Pertussis
Phayao,0,0,2008,Pertussis
Phrae,0,0,2008,Pertussis
Zone: 17,0,0,2008,Pertussis
Phetchabun,0,0,2008,Pertussis
Phitsanulok,0,0,2008,Pertussis
Sukhothai,0,0,2008,Pertussis
Tak,0,0,2008,Pertussis
Uttaradit,0,0,2008,Pertussis
Zone: 18,0,0,2008,Pertussis
Kamphaeng Phet,0,0,2008,Pertussis
Nakhon Sawan,0,0,2008,Pertussis
Phichit,0,0,2008,Pertussis
Uthai Thani,0,0,2008,Pertussis
Total,<1,0,2008,Pertussis
Central Region,<1,0,2008,Pertussis
Bangkok,<1,0,2008,Pertussis
Zone: 1,<1,0,2008,Pertussis
Nonthaburi,<1,0,2008,Pertussis
P.Nakhon S.Ayutthaya,<1,0,2008,Pertussis
Pathum Thani,<1,0,2008,Pertussis
Saraburi,<1,0,2008,Pertussis
Zone: 2,<1,0,2008,Pertussis
Ang Thong,<1,0,2008,Pertussis
